Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=100, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NPOLL	ERR1	VPOLL	ERR2	SDS1	ERR3	VFSD1	ERR4	VMSD1	ERR5	SDS2	ERR6	VFSD2	ERR7	VMSD2	ERR8
252	0.410	0.009	0.338	0.006	24.295	0.610	277896.562	15445.729	1443.537	23.282	0.053	0.001	0.715	0.038	0.244	0.017
253	0.410	0.009	0.335	0.006	24.427	0.589	277079.812	14953.299	1451.179	22.482	0.055	0.001	0.770	0.043	0.279	0.022
254	0.409	0.009	0.337	0.007	24.289	0.592	273004.531	14810.967	1447.944	23.209	0.056	0.001	0.778	0.042	0.258	0.014
255	0.408	0.009	0.338	0.006	24.017	0.591	265054.469	14516.374	1437.575	23.660	0.054	0.002	0.740	0.043	0.269	0.019
256	0.401	0.008	0.338	0.006	23.487	0.576	252027.594	13736.411	1420.694	23.829	0.053	0.001	0.705	0.039	0.257	0.019
257	0.403	0.009	0.335	0.006	23.530	0.587	250831.688	13583.561	1420.681	24.217	0.053	0.001	0.696	0.039	0.251	0.019
258	0.402	0.009	0.337	0.007	23.402	0.578	245996.297	13191.854	1416.436	24.006	0.055	0.001	0.738	0.042	0.267	0.021
259	0.401	0.009	0.337	0.006	23.267	0.569	241561.188	12986.496	1410.034	23.421	0.054	0.001	0.701	0.039	0.234	0.016
260	0.403	0.009	0.341	0.007	23.184	0.561	238497.844	12762.946	1408.362	23.042	0.052	0.001	0.655	0.031	0.245	0.016
261	0.394	0.009	0.336	0.007	22.612	0.557	225053.938	12224.662	1385.129	23.086	0.053	0.001	0.681	0.039	0.258	0.020
262	0.402	0.009	0.344	0.007	23.039	0.563	231271.453	12208.224	1402.045	22.810	0.053	0.001	0.662	0.037	0.238	0.016
263	0.399	0.009	0.340	0.007	22.750	0.580	225882.984	12545.736	1386.112	23.422	0.054	0.001	0.686	0.037	0.245	0.017
264	0.395	0.010	0.342	0.007	22.575	0.594	221154.406	12593.823	1377.838	23.896	0.052	0.001	0.626	0.037	0.230	0.013
265	0.399	0.010	0.343	0.007	22.670	0.588	221042.406	12438.423	1381.720	23.746	0.054	0.001	0.694	0.039	0.258	0.018
266	0.400	0.009	0.344	0.007	22.720	0.585	220962.125	12502.071	1385.818	23.689	0.051	0.001	0.608	0.034	0.217	0.016
267	0.403	0.009	0.341	0.007	22.934	0.592	225486.453	12941.728	1392.867	23.955	0.053	0.001	0.647	0.036	0.233	0.017
268	0.405	0.009	0.342	0.007	23.018	0.592	226302.281	13107.771	1394.468	23.424	0.051	0.001	0.613	0.036	0.207	0.014
269	0.405	0.010	0.341	0.008	23.134	0.682	228662.516	14530.470	1388.592	24.237	0.052	0.001	0.613	0.036	0.214	0.013
270	0.410	0.010	0.341	0.007	23.382	0.676	230709.656	14274.205	1397.179	23.829	0.053	0.001	0.640	0.035	0.215	0.014
271	0.409	0.011	0.343	0.007	23.366	0.692	230278.641	14560.416	1396.099	24.720	0.051	0.001	0.584	0.030	0.218	0.013
272	0.414	0.010	0.356	0.007	23.242	0.614	226136.953	13426.099	1396.586	23.438	0.053	0.001	0.624	0.035	0.233	0.016
273	0.414	0.010	0.355	0.008	23.339	0.623	227919.719	13609.808	1398.495	24.003	0.054	0.001	0.647	0.036	0.231	0.016
274	0.417	0.010	0.357	0.008	23.489	0.616	228633.047	13415.310	1405.610	23.515	0.053	0.001	0.615	0.037	0.219	0.018
275	0.409	0.009	0.348	0.007	23.362	0.605	224234.297	13007.406	1404.349	23.176	0.054	0.001	0.662	0.037	0.215	0.015
276	0.413	0.010	0.354	0.008	23.628	0.672	230973.547	14976.054	1407.922	23.589	0.055	0.001	0.652	0.034	0.225	0.015
277	0.416	0.010	0.352	0.007	23.743	0.657	230665.203	14791.770	1413.864	23.446	0.049	0.001	0.555	0.034	0.196	0.014
278	0.412	0.010	0.351	0.007	23.521	0.643	226632.188	14543.283	1408.010	22.834	0.052	0.001	0.590	0.035	0.200	0.014
279	0.413	0.010	0.354	0.007	23.362	0.657	222887.359	14556.692	1403.033	23.709	0.055	0.002	0.637	0.036	0.239	0.016
280	0.420	0.011	0.353	0.007	23.992	0.730	234174.156	16666.275	1417.710	24.021	0.049	0.001	0.535	0.033	0.187	0.013
281	0.425	0.011	0.355	0.008	24.288	0.738	240640.062	16934.443	1429.303	24.436	0.052	0.001	0.567	0.033	0.189	0.012
282	0.429	0.011	0.363	0.008	24.314	0.720	238230.906	16567.488	1433.235	23.874	0.054	0.001	0.635	0.036	0.212	0.014
283	0.425	0.010	0.359	0.008	24.101	0.709	232052.953	16166.777	1427.101	23.887	0.052	0.001	0.581	0.033	0.206	0.015
284	0.425	0.011	0.363	0.008	23.884	0.703	226145.453	15774.198	1419.921	24.464	0.054	0.002	0.652	0.041	0.219	0.015
285	0.424	0.011	0.363	0.008	23.891	0.712	225721.188	15639.022	1420.641	25.903	0.052	0.002	0.551	0.037	0.197	0.014
286	0.424	0.010	0.364	0.008	23.833	0.700	223394.906	15184.692	1418.798	26.208	0.053	0.002	0.601	0.040	0.219	0.018
287	0.427	0.011	0.364	0.008	24.094	0.710	224835.781	14999.744	1429.388	26.014	0.053	0.002	0.596	0.036	0.203	0.015
288	0.424	0.010	0.370	0.009	23.854	0.683	218548.953	14552.683	1425.921	25.852	0.051	0.002	0.555	0.036	0.204	0.015
289	0.429	0.011	0.381	0.009	23.930	0.676	217773.047	13986.998	1430.322	26.150	0.050	0.002	0.530	0.034	0.184	0.012
290	0.435	0.011	0.378	0.009	24.412	0.666	222561.703	13681.907	1447.668	25.237	0.053	0.001	0.573	0.033	0.213	0.015
291	0.433	0.011	0.377	0.010	24.270	0.678	218762.984	13709.238	1443.180	25.961	0.051	0.001	0.524	0.031	0.196	0.012
292	0.432	0.011	0.380	0.009	24.015	0.677	213492.781	13537.599	1434.778	26.090	0.053	0.002	0.560	0.038	0.192	0.014
293	0.433	0.010	0.384	0.009	23.904	0.662	209915.438	13162.233	1431.015	25.922	0.052	0.002	0.570	0.044	0.216	0.018
294	0.427	0.011	0.382	0.010	23.512	0.669	201920.422	12843.494	1413.824	26.633	0.051	0.002	0.550	0.038	0.198	0.018
295	0.425	0.011	0.382	0.010	23.284	0.708	198711.000	12813.612	1398.177	29.916	0.053	0.002	0.556	0.033	0.204	0.016
296	0.423	0.011	0.382	0.010	23.101	0.688	192525.094	11972.770	1391.549	29.121	0.051	0.002	0.536	0.039	0.208	0.019
297	0.418	0.011	0.381	0.010	22.848	0.699	188364.656	11756.375	1378.548	30.461	0.050	0.002	0.498	0.033	0.170	0.013
298	0.421	0.011	0.385	0.009	22.919	0.670	187517.141	11382.424	1386.413	29.436	0.049	0.002	0.492	0.032	0.166	0.013
299	0.418	0.011	0.379	0.010	22.728	0.675	183169.078	11227.515	1378.214	29.985	0.048	0.002	0.470	0.035	0.179	0.015
300	0.422	0.011	0.383	0.010	22.835	0.701	183974.156	11024.610	1379.242	31.251	0.048	0.002	0.457	0.030	0.158	0.011
301	0.420	0.011	0.388	0.010	22.564	0.710	177725.344	10604.580	1368.463	31.839	0.047	0.002	0.470	0.040	0.176	0.013
302	0.421	0.012	0.387	0.010	22.731	0.730	179125.484	10719.255	1373.784	32.437	0.047	0.002	0.457	0.033	0.156	0.012
303	0.422	0.011	0.384	0.010	22.851	0.726	179576.781	10562.247	1381.302	32.320	0.049	0.002	0.480	0.035	0.170	0.013
304	0.421	0.012	0.386	0.010	22.751	0.738	174243.578	10383.894	1379.830	32.507	0.048	0.001	0.430	0.030	0.169	0.012
305	0.422	0.012	0.387	0.011	22.780	0.726	172127.562	10058.394	1383.273	32.238	0.049	0.002	0.437	0.027	0.170	0.012
306	0.425	0.012	0.391	0.011	23.041	0.740	173088.281	9897.273	1395.348	32.111	0.050	0.002	0.455	0.030	0.175	0.013
307	0.421	0.012	0.384	0.011	22.903	0.742	169973.562	9953.058	1391.585	32.115	0.052	0.002	0.505	0.035	0.151	0.010
308	0.424	0.012	0.394	0.011	22.855	0.724	167038.047	9674.939	1395.007	30.833	0.050	0.002	0.473	0.035	0.162	0.013
309	0.426	0.012	0.396	0.011	22.868	0.690	166132.734	9307.023	1400.065	29.547	0.049	0.002	0.439	0.030	0.173	0.014
310	0.430	0.012	0.398	0.011	22.865	0.697	165316.938	9359.337	1398.330	29.729	0.051	0.002	0.475	0.036	0.172	0.013
311	0.432	0.012	0.392	0.011	23.124	0.703	167945.312	9442.470	1405.332	29.913	0.050	0.002	0.453	0.035	0.161	0.011
312	0.430	0.012	0.385	0.011	23.371	0.756	175403.188	12838.439	1407.749	30.220	0.049	0.002	0.430	0.027	0.147	0.012
313	0.437	0.012	0.394	0.012	23.329	0.765	174087.938	13107.221	1402.818	30.473	0.049	0.002	0.458	0.040	0.156	0.011
314	0.435	0.012	0.392	0.011	23.232	0.759	171846.016	12894.442	1398.189	30.405	0.050	0.002	0.439	0.028	0.164	0.011
315	0.438	0.013	0.391	0.012	23.248	0.768	169931.047	12723.229	1395.706	31.128	0.050	0.001	0.421	0.027	0.165	0.012
316	0.444	0.012	0.398	0.011	23.466	0.764	173211.188	13109.672	1402.403	30.837	0.050	0.002	0.437	0.030	0.151	0.010
317	0.444	0.012	0.396	0.012	23.351	0.754	169647.719	12935.311	1397.469	30.491	0.053	0.002	0.467	0.031	0.172	0.012
318	0.443	0.012	0.398	0.011	23.365	0.719	163098.062	9665.572	1403.812	30.302	0.050	0.002	0.428	0.028	0.159	0.012
319	0.448	0.012	0.401	0.011	23.582	0.748	166457.688	11414.827	1405.354	29.498	0.048	0.002	0.401	0.029	0.164	0.012
320	0.447	0.012	0.403	0.011	23.472	0.760	164749.859	11513.945	1398.650	30.761	0.049	0.002	0.419	0.031	0.152	0.012
321	0.451	0.013	0.396	0.011	23.789	0.799	169218.281	12577.771	1403.772	30.723	0.050	0.002	0.455	0.037	0.170	0.014
322	0.454	0.013	0.401	0.012	24.012	0.813	171778.266	12717.008	1409.624	31.402	0.051	0.002	0.427	0.029	0.167	0.011
323	0.453	0.013	0.406	0.012	23.729	0.798	167448.703	12527.965	1403.568	31.322	0.049	0.002	0.414	0.030	0.152	0.013
324	0.459	0.012	0.413	0.012	24.016	0.794	168811.734	12366.976	1417.878	31.107	0.049	0.002	0.418	0.030	0.152	0.011
325	0.451	0.012	0.408	0.012	23.630	0.783	162381.516	11970.843	1407.487	31.737	0.049	0.002	0.380	0.026	0.158	0.011
326	0.453	0.013	0.410	0.012	23.684	0.797	164088.078	12222.775	1407.092	32.482	0.050	0.002	0.397	0.028	0.168	0.012
327	0.451	0.012	0.405	0.012	23.749	0.786	162669.234	11848.300	1411.912	31.858	0.050	0.002	0.438	0.040	0.153	0.013
328	0.457	0.012	0.410	0.012	24.184	0.781	166667.203	11648.803	1430.686	31.357	0.049	0.002	0.390	0.030	0.148	0.011
329	0.457	0.013	0.409	0.013	23.895	0.733	158572.734	10400.398	1423.128	30.708	0.051	0.002	0.422	0.032	0.153	0.011
330	0.456	0.011	0.413	0.011	24.103	0.731	158885.719	10167.812	1433.820	30.751	0.048	0.002	0.385	0.029	0.142	0.012
331	0.458	0.012	0.417	0.012	23.906	0.721	155184.953	10045.982	1427.349	30.313	0.047	0.002	0.344	0.025	0.142	0.010
332	0.454	0.012	0.411	0.012	23.695	0.702	151065.875	9864.812	1421.352	29.863	0.050	0.002	0.391	0.030	0.151	0.013
333	0.449	0.012	0.417	0.013	23.199	0.707	144238.125	9733.369	1404.381	30.627	0.050	0.002	0.375	0.029	0.157	0.014
334	0.454	0.012	0.420	0.013	23.274	0.712	145013.281	9868.126	1405.667	30.693	0.049	0.002	0.350	0.025	0.136	0.008
335	0.457	0.013	0.425	0.013	23.722	0.673	143943.203	9540.043	1436.618	28.903	0.050	0.002	0.384	0.026	0.144	0.011
336	0.463	0.013	0.435	0.015	23.833	0.654	143076.109	9373.285	1441.214	28.345	0.048	0.002	0.380	0.033	0.127	0.010
337	0.460	0.013	0.428	0.014	23.925	0.660	143874.312	9447.164	1442.353	28.213	0.050	0.002	0.341	0.024	0.140	0.011
338	0.463	0.013	0.426	0.014	24.186	0.645	144235.953	9106.576	1452.860	27.150	0.052	0.002	0.413	0.031	0.140	0.012
339	0.473	0.013	0.435	0.014	24.488	0.622	145455.016	8820.394	1466.363	25.878	0.051	0.002	0.357	0.024	0.131	0.009
340	0.465	0.013	0.431	0.014	24.125	0.636	140719.953	8672.934	1451.093	26.983	0.052	0.002	0.370	0.024	0.143	0.009
341	0.467	0.013	0.437	0.015	24.042	0.635	138801.516	8584.886	1449.327	27.288	0.051	0.002	0.371	0.030	0.140	0.012
342	0.472	0.012	0.435	0.014	24.466	0.657	148613.047	11536.796	1463.632	27.263	0.053	0.002	0.379	0.032	0.158	0.012
343	0.474	0.012	0.436	0.014	24.685	0.671	150831.812	11556.930	1467.201	26.832	0.051	0.003	0.383	0.034	0.158	0.018
344	0.474	0.011	0.443	0.014	24.449	0.647	146638.562	11075.142	1459.944	27.084	0.051	0.002	0.361	0.026	0.142	0.012
345	0.466	0.011	0.434	0.014	24.058	0.668	142130.438	10950.503	1439.091	28.039	0.053	0.002	0.376	0.029	0.153	0.012
346	0.462	0.011	0.438	0.014	23.515	0.673	136947.781	10712.294	1417.062	29.981	0.050	0.002	0.351	0.029	0.150	0.012
347	0.467	0.012	0.436	0.014	23.305	0.668	133687.078	10551.120	1406.156	29.980	0.051	0.002	0.351	0.028	0.149	0.013
348	0.468	0.011	0.444	0.013	23.438	0.657	134263.953	10260.055	1411.774	29.495	0.046	0.002	0.293	0.019	0.124	0.008
349	0.473	0.013	0.442	0.014	23.836	0.666	133590.094	9745.688	1429.421	29.015	0.046	0.002	0.297	0.021	0.132	0.009
350	0.476	0.013	0.445	0.014	23.976	0.678	133524.516	9514.478	1436.387	29.269	0.048	0.002	0.318	0.028	0.126	0.008
351	0.473	0.013	0.460	0.015	23.983	0.700	135759.625	11072.383	1442.083	29.926	0.046	0.002	0.303	0.026	0.132	0.011
352	0.476	0.013	0.465	0.015	24.004	0.688	133897.250	10966.276	1446.276	28.470	0.048	0.002	0.331	0.029	0.142	0.013
353	0.471	0.013	0.455	0.015	24.033	0.723	135183.984	11493.524	1439.737	28.650	0.051	0.002	0.370	0.037	0.127	0.010
354	0.466	0.013	0.456	0.015	23.617	0.758	129817.703	11219.619	1418.476	30.357	0.047	0.002	0.313	0.031	0.128	0.012
355	0.464	0.014	0.457	0.015	23.505	0.765	127663.422	10966.898	1414.252	30.434	0.052	0.003	0.363	0.037	0.147	0.013
356	0.471	0.015	0.454	0.015	23.401	0.789	125521.344	10748.744	1407.590	32.683	0.048	0.002	0.323	0.028	0.139	0.011
357	0.481	0.014	0.463	0.014	24.057	0.789	129287.141	10719.134	1436.021	32.124	0.049	0.002	0.300	0.025	0.123	0.009
358	0.477	0.014	0.462	0.015	24.085	0.782	127391.969	10502.115	1441.375	31.848	0.047	0.002	0.295	0.026	0.114	0.009
359	0.469	0.013	0.454	0.014	23.725	0.757	123000.352	10235.379	1432.012	31.576	0.048	0.002	0.294	0.025	0.115	0.009
360	0.462	0.013	0.457	0.016	23.578	0.755	120500.047	9988.937	1426.929	31.447	0.053	0.003	0.354	0.038	0.137	0.013
361	0.461	0.012	0.456	0.014	23.569	0.738	118078.156	9473.083	1431.284	31.463	0.051	0.003	0.325	0.030	0.133	0.016
362	0.458	0.013	0.456	0.015	22.933	0.741	114356.227	9599.976	1406.631	33.253	0.050	0.003	0.316	0.032	0.150	0.017
363	0.449	0.012	0.447	0.015	22.647	0.684	109180.227	8928.824	1399.655	32.018	0.052	0.003	0.328	0.041	0.139	0.017
364	0.451	0.012	0.446	0.015	22.461	0.685	107203.453	8896.767	1390.062	32.125	0.049	0.002	0.290	0.026	0.123	0.009
365	0.454	0.013	0.448	0.015	22.542	0.673	106817.109	8934.781	1392.455	31.649	0.048	0.003	0.279	0.026	0.115	0.009
366	0.447	0.012	0.439	0.015	22.479	0.664	105369.883	8866.779	1387.628	31.655	0.048	0.003	0.321	0.052	0.123	0.014
367	0.449	0.012	0.445	0.015	22.297	0.659	103292.594	8685.363	1380.703	31.434	0.052	0.002	0.311	0.033	0.131	0.010
368	0.454	0.012	0.455	0.015	22.236	0.649	101805.422	8489.016	1376.844	31.501	0.049	0.003	0.303	0.044	0.134	0.013
369	0.454	0.012	0.459	0.015	22.037	0.652	98705.906	8372.498	1367.208	31.322	0.047	0.002	0.289	0.038	0.115	0.011
370	0.456	0.012	0.460	0.015	22.324	0.640	99333.156	8156.457	1382.719	30.940	0.049	0.002	0.302	0.033	0.132	0.018
371	0.457	0.012	0.459	0.015	22.551	0.655	100063.391	8007.182	1389.144	31.123	0.046	0.002	0.276	0.039	0.120	0.011
372	0.455	0.012	0.462	0.015	22.092	0.650	96615.180	7962.758	1370.826	30.965	0.047	0.002	0.268	0.033	0.121	0.010
373	0.453	0.013	0.450	0.015	22.153	0.674	97612.961	8196.564	1370.347	31.641	0.050	0.002	0.317	0.047	0.123	0.010
374	0.459	0.013	0.466	0.016	22.123	0.688	96540.859	8182.250	1369.104	32.519	0.052	0.003	0.351	0.056	0.144	0.016
375	0.463	0.013	0.463	0.015	22.403	0.679	98270.203	8103.084	1378.143	32.543	0.048	0.003	0.333	0.058	0.138	0.023
376	0.465	0.013	0.459	0.015	22.505	0.707	99111.711	8224.351	1375.270	31.727	0.047	0.002	0.289	0.038	0.129	0.015
377	0.461	0.013	0.458	0.016	22.277	0.730	96575.422	8116.428	1362.723	33.467	0.048	0.003	0.309	0.048	0.143	0.028
378	0.465	0.014	0.461	0.016	22.465	0.743	97273.719	8108.895	1369.980	33.786	0.052	0.003	0.325	0.046	0.151	0.017
379	0.458	0.013	0.463	0.016	22.173	0.683	92868.258	7364.176	1367.053	33.006	0.047	0.003	0.292	0.048	0.129	0.019
380	0.458	0.013	0.455	0.015	22.002	0.707	91634.391	7427.278	1357.274	33.696	0.047	0.002	0.280	0.034	0.124	0.012
381	0.458	0.013	0.460	0.016	22.107	0.721	94402.867	8999.143	1359.898	33.425	0.045	0.002	0.266	0.031	0.139	0.017
382	0.457	0.013	0.456	0.015	22.012	0.759	92966.250	8460.025	1351.068	37.056	0.045	0.002	0.259	0.030	0.117	0.014
383	0.463	0.014	0.459	0.015	22.012	0.787	93057.023	8899.677	1346.542	36.727	0.049	0.002	0.304	0.043	0.125	0.012
384	0.468	0.015	0.461	0.017	22.014	0.804	91949.281	8853.719	1341.100	37.413	0.047	0.002	0.249	0.028	0.113	0.014
385	0.464	0.015	0.466	0.017	21.830	0.850	90883.094	8763.633	1328.273	39.418	0.046	0.002	0.254	0.030	0.124	0.012
386	0.469	0.015	0.471	0.017	21.799	0.855	90115.094	8676.001	1329.338	40.386	0.044	0.003	0.270	0.043	0.105	0.013
387	0.470	0.015	0.477	0.017	21.993	0.828	89039.250	8248.370	1345.193	39.856	0.046	0.002	0.267	0.030	0.116	0.012
388	0.480	0.015	0.490	0.018	22.159	0.839	88625.406	8085.431	1349.654	40.888	0.051	0.003	0.294	0.038	0.134	0.014
389	0.476	0.015	0.480	0.018	22.604	0.839	92712.672	9282.667	1367.907	40.604	0.047	0.003	0.261	0.035	0.114	0.012
390	0.478	0.014	0.490	0.018	22.299	0.818	89990.711	9060.396	1357.820	39.804	0.046	0.002	0.245	0.029	0.110	0.010
391	0.474	0.014	0.488	0.018	22.113	0.812	88589.844	8915.172	1353.896	39.954	0.049	0.002	0.294	0.043	0.133	0.013
392	0.473	0.014	0.481	0.017	22.284	0.790	88636.109	8903.877	1366.617	38.757	0.045	0.003	0.254	0.034	0.112	0.012
393	0.476	0.013	0.494	0.017	22.291	0.804	88430.422	8830.779	1368.656	39.238	0.046	0.002	0.245	0.032	0.113	0.013
394	0.473	0.013	0.490	0.016	21.932	0.792	85569.641	8711.224	1355.506	39.072	0.045	0.003	0.237	0.027	0.109	0.011
395	0.462	0.014	0.480	0.017	21.513	0.823	82845.945	8377.077	1334.614	42.377	0.042	0.003	0.222	0.029	0.098	0.010
396	0.464	0.014	0.487	0.018	21.702	0.805	82918.180	8356.450	1350.284	42.040	0.046	0.003	0.249	0.038	0.096	0.010
397	0.466	0.015	0.482	0.018	21.556	0.793	80719.562	8148.921	1340.167	42.269	0.047	0.003	0.243	0.032	0.113	0.013
398	0.467	0.016	0.482	0.018	21.630	0.757	79242.547	8041.496	1350.983	39.549	0.047	0.003	0.263	0.036	0.115	0.012
399	0.468	0.016	0.485	0.019	21.698	0.752	79005.852	7953.032	1354.034	39.132	0.049	0.003	0.236	0.024	0.113	0.010
400	0.476	0.016	0.499	0.018	22.018	0.715	79757.289	7756.563	1372.926	37.197	0.046	0.003	0.240	0.032	0.110	0.013
401	0.475	0.016	0.494	0.018	21.977	0.705	78717.047	7674.546	1366.002	36.396	0.052	0.003	0.263	0.032	0.116	0.010
