Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
334	49	2.282	0.044	4.531	0.160	0.109	0.015	-0.001	0.010	0.431	0.019	0.410	0.015	-0.055	0.023
335	49	2.282	0.044	4.531	0.160	0.109	0.015	-0.000	0.010	0.429	0.018	0.409	0.015	-0.053	0.024
336	49	2.269	0.045	4.510	0.165	0.111	0.015	-0.001	0.010	0.430	0.019	0.410	0.015	-0.057	0.026
337	49	2.269	0.045	4.510	0.165	0.111	0.015	-0.001	0.010	0.427	0.019	0.408	0.015	-0.054	0.026
338	49	2.257	0.046	4.490	0.163	0.114	0.015	-0.001	0.010	0.426	0.019	0.407	0.015	-0.055	0.027
339	49	2.241	0.046	4.469	0.163	0.114	0.015	-0.001	0.010	0.430	0.019	0.409	0.015	-0.060	0.027
340	49	2.241	0.046	4.469	0.163	0.115	0.015	-0.002	0.010	0.429	0.019	0.408	0.015	-0.059	0.027
341	49	2.241	0.046	4.449	0.160	0.115	0.015	-0.002	0.010	0.426	0.019	0.408	0.015	-0.053	0.027
342	48	2.242	0.047	4.500	0.155	0.116	0.015	-0.002	0.010	0.419	0.016	0.407	0.015	-0.040	0.022
343	48	2.242	0.047	4.479	0.152	0.116	0.015	-0.002	0.010	0.418	0.016	0.406	0.015	-0.039	0.022
344	48	2.233	0.047	4.479	0.152	0.116	0.015	-0.002	0.011	0.415	0.016	0.405	0.015	-0.037	0.023
345	48	2.229	0.048	4.438	0.149	0.114	0.015	-0.002	0.011	0.416	0.016	0.406	0.015	-0.039	0.024
346	48	2.221	0.047	4.438	0.149	0.115	0.015	-0.002	0.011	0.412	0.016	0.403	0.015	-0.036	0.024
347	47	2.238	0.045	4.468	0.149	0.112	0.015	-0.002	0.011	0.410	0.016	0.405	0.015	-0.025	0.024
348	47	2.234	0.044	4.468	0.149	0.110	0.015	-0.002	0.011	0.412	0.016	0.406	0.015	-0.028	0.025
349	47	2.217	0.044	4.447	0.151	0.112	0.016	-0.001	0.011	0.411	0.016	0.403	0.016	-0.034	0.024
350	47	2.209	0.045	4.426	0.154	0.113	0.016	-0.002	0.011	0.408	0.016	0.403	0.016	-0.027	0.024
351	47	2.191	0.049	4.404	0.157	0.115	0.017	-0.002	0.011	0.407	0.017	0.399	0.017	-0.040	0.028
352	47	2.179	0.048	4.404	0.157	0.117	0.017	-0.002	0.011	0.407	0.017	0.400	0.017	-0.039	0.028
353	47	2.170	0.048	4.340	0.159	0.119	0.017	-0.002	0.011	0.406	0.017	0.399	0.017	-0.040	0.028
354	46	2.183	0.045	4.348	0.156	0.112	0.015	-0.002	0.012	0.413	0.017	0.403	0.016	-0.041	0.027
355	46	2.183	0.045	4.304	0.158	0.112	0.015	-0.002	0.012	0.415	0.017	0.403	0.016	-0.044	0.028
356	46	2.183	0.045	4.261	0.166	0.113	0.015	-0.010	0.014	0.413	0.017	0.401	0.017	-0.046	0.030
357	46	2.178	0.046	4.261	0.166	0.111	0.015	-0.010	0.014	0.414	0.018	0.402	0.016	-0.046	0.030
358	46	2.174	0.047	4.239	0.165	0.112	0.015	-0.008	0.014	0.415	0.018	0.402	0.016	-0.048	0.030
359	46	2.161	0.047	4.239	0.165	0.110	0.015	-0.009	0.014	0.416	0.017	0.402	0.016	-0.053	0.030
360	46	2.148	0.047	4.239	0.165	0.110	0.015	-0.010	0.014	0.417	0.017	0.401	0.016	-0.057	0.030
361	46	2.143	0.046	4.196	0.169	0.113	0.015	-0.011	0.014	0.417	0.017	0.400	0.016	-0.064	0.031
362	46	2.143	0.046	4.174	0.171	0.113	0.015	-0.011	0.014	0.414	0.017	0.400	0.016	-0.059	0.031
363	46	2.135	0.047	4.152	0.170	0.113	0.015	-0.011	0.014	0.412	0.017	0.398	0.016	-0.058	0.031
364	46	2.109	0.049	4.087	0.164	0.119	0.016	-0.006	0.012	0.409	0.017	0.394	0.017	-0.064	0.031
365	46	2.100	0.050	4.087	0.164	0.120	0.016	-0.005	0.012	0.409	0.016	0.394	0.017	-0.066	0.031
366	46	2.100	0.050	4.065	0.166	0.121	0.016	-0.006	0.012	0.406	0.016	0.393	0.017	-0.061	0.030
367	46	2.100	0.050	4.065	0.166	0.122	0.016	-0.006	0.012	0.405	0.016	0.391	0.017	-0.064	0.030
368	46	2.096	0.050	4.000	0.173	0.124	0.016	-0.010	0.013	0.404	0.016	0.388	0.017	-0.069	0.031
369	46	2.091	0.050	3.957	0.170	0.123	0.016	-0.010	0.013	0.405	0.016	0.389	0.017	-0.071	0.031
370	46	2.087	0.050	3.957	0.170	0.124	0.016	-0.010	0.013	0.403	0.016	0.387	0.016	-0.071	0.031
371	45	2.089	0.051	3.978	0.170	0.128	0.017	-0.005	0.013	0.399	0.015	0.383	0.017	-0.072	0.032
372	45	2.080	0.051	3.956	0.174	0.125	0.016	-0.008	0.014	0.398	0.016	0.381	0.017	-0.077	0.034
373	45	2.062	0.053	3.889	0.180	0.127	0.016	-0.007	0.014	0.396	0.016	0.377	0.017	-0.090	0.039
374	45	2.053	0.053	3.889	0.180	0.132	0.017	-0.008	0.014	0.396	0.016	0.376	0.017	-0.095	0.038
375	45	2.040	0.053	3.889	0.180	0.138	0.017	-0.009	0.014	0.394	0.017	0.372	0.017	-0.104	0.040
376	45	2.036	0.054	3.889	0.180	0.137	0.017	-0.009	0.014	0.396	0.016	0.373	0.017	-0.105	0.040
377	45	2.018	0.057	3.867	0.179	0.138	0.017	-0.011	0.014	0.396	0.017	0.366	0.018	-0.140	0.044
378	44	2.027	0.058	3.864	0.183	0.132	0.016	-0.008	0.014	0.400	0.016	0.370	0.018	-0.139	0.043
379	44	2.023	0.058	3.841	0.184	0.129	0.016	-0.008	0.014	0.401	0.016	0.372	0.018	-0.134	0.043
380	42	2.043	0.054	3.857	0.185	0.129	0.017	-0.004	0.015	0.401	0.016	0.374	0.017	-0.111	0.039
381	42	2.029	0.051	3.857	0.185	0.129	0.017	-0.004	0.015	0.399	0.016	0.372	0.017	-0.115	0.038
382	42	2.014	0.053	3.786	0.185	0.133	0.018	-0.012	0.018	0.394	0.017	0.368	0.017	-0.109	0.039
383	42	2.010	0.053	3.762	0.180	0.136	0.018	-0.010	0.018	0.393	0.017	0.367	0.018	-0.108	0.038
384	41	2.015	0.053	3.780	0.180	0.135	0.019	-0.015	0.018	0.394	0.018	0.367	0.018	-0.109	0.039
385	41	2.015	0.053	3.756	0.184	0.137	0.018	-0.023	0.021	0.395	0.018	0.365	0.018	-0.114	0.040
386	40	2.025	0.053	3.750	0.195	0.135	0.018	-0.012	0.018	0.393	0.018	0.366	0.018	-0.103	0.039
387	40	2.010	0.054	3.675	0.194	0.145	0.018	-0.000	0.014	0.393	0.019	0.361	0.017	-0.115	0.040
388	40	1.995	0.055	3.650	0.184	0.149	0.019	0.000	0.014	0.392	0.020	0.361	0.017	-0.116	0.044
389	39	1.990	0.057	3.692	0.184	0.151	0.020	0.005	0.014	0.384	0.020	0.360	0.018	-0.099	0.045
390	39	1.964	0.061	3.641	0.174	0.151	0.020	0.009	0.014	0.382	0.022	0.355	0.019	-0.098	0.049
391	39	1.964	0.061	3.590	0.175	0.150	0.019	0.001	0.017	0.384	0.021	0.357	0.019	-0.105	0.048
392	39	1.954	0.060	3.564	0.175	0.150	0.019	0.000	0.016	0.384	0.021	0.354	0.019	-0.120	0.045
393	38	1.958	0.059	3.500	0.188	0.144	0.018	0.005	0.017	0.387	0.021	0.359	0.018	-0.099	0.041
394	37	1.968	0.059	3.486	0.192	0.141	0.018	0.005	0.017	0.384	0.021	0.361	0.019	-0.083	0.040
395	37	1.951	0.061	3.459	0.204	0.146	0.018	0.008	0.017	0.378	0.021	0.356	0.019	-0.087	0.042
396	37	1.941	0.061	3.405	0.203	0.148	0.018	0.011	0.016	0.374	0.021	0.353	0.019	-0.084	0.043
397	37	1.930	0.061	3.378	0.203	0.144	0.019	0.010	0.016	0.371	0.021	0.351	0.019	-0.080	0.042
398	37	1.924	0.061	3.351	0.198	0.149	0.019	0.011	0.016	0.375	0.021	0.349	0.018	-0.098	0.042
399	37	1.924	0.061	3.324	0.194	0.148	0.019	0.011	0.016	0.374	0.021	0.350	0.019	-0.092	0.041
400	36	1.922	0.062	3.306	0.202	0.152	0.020	0.007	0.018	0.368	0.020	0.348	0.019	-0.087	0.040
401	36	1.917	0.063	3.306	0.202	0.149	0.019	0.008	0.018	0.368	0.020	0.348	0.019	-0.088	0.040
402	35	1.920	0.065	3.343	0.205	0.149	0.021	0.007	0.017	0.370	0.021	0.351	0.020	-0.086	0.038
403	32	1.944	0.069	3.406	0.210	0.138	0.021	0.010	0.017	0.371	0.023	0.358	0.021	-0.059	0.036
404	32	1.944	0.069	3.375	0.200	0.138	0.021	0.008	0.016	0.370	0.023	0.356	0.021	-0.065	0.039
405	32	1.937	0.067	3.344	0.204	0.136	0.021	0.008	0.016	0.373	0.023	0.356	0.021	-0.073	0.039
406	32	1.919	0.064	3.312	0.203	0.132	0.022	0.009	0.015	0.373	0.023	0.355	0.021	-0.078	0.039
407	32	1.912	0.062	3.281	0.202	0.134	0.021	0.009	0.015	0.372	0.023	0.352	0.021	-0.081	0.038
408	32	1.906	0.063	3.219	0.209	0.137	0.022	0.017	0.013	0.378	0.023	0.353	0.021	-0.096	0.038
409	32	1.894	0.061	3.188	0.208	0.140	0.022	0.017	0.013	0.376	0.023	0.351	0.021	-0.093	0.038
410	31	1.916	0.055	3.161	0.213	0.147	0.022	0.016	0.014	0.385	0.022	0.359	0.019	-0.092	0.039
411	30	1.927	0.055	3.167	0.220	0.149	0.023	0.016	0.014	0.386	0.023	0.361	0.020	-0.090	0.041
412	29	1.917	0.059	3.172	0.228	0.150	0.024	0.018	0.015	0.377	0.022	0.356	0.021	-0.096	0.046
413	29	1.910	0.061	3.172	0.228	0.150	0.023	0.018	0.015	0.373	0.022	0.354	0.021	-0.095	0.050
414	29	1.910	0.061	3.172	0.228	0.148	0.023	0.014	0.015	0.376	0.022	0.356	0.022	-0.096	0.050
415	29	1.903	0.060	3.172	0.228	0.149	0.024	0.011	0.015	0.380	0.022	0.357	0.022	-0.108	0.048
416	28	1.879	0.060	3.179	0.236	0.160	0.024	0.009	0.015	0.374	0.022	0.348	0.021	-0.116	0.049
417	27	1.896	0.060	3.185	0.239	0.153	0.024	0.006	0.015	0.381	0.023	0.354	0.021	-0.110	0.050
418	25	1.912	0.061	3.200	0.238	0.142	0.025	0.007	0.017	0.381	0.023	0.358	0.021	-0.095	0.046
419	25	1.912	0.061	3.200	0.238	0.145	0.025	0.006	0.017	0.376	0.023	0.356	0.022	-0.082	0.044
420	25	1.880	0.062	3.160	0.243	0.147	0.024	0.000	0.019	0.373	0.022	0.353	0.021	-0.085	0.045
421	25	1.864	0.063	3.120	0.247	0.146	0.023	0.005	0.020	0.371	0.022	0.354	0.022	-0.080	0.047
422	23	1.896	0.064	3.261	0.211	0.144	0.025	0.002	0.021	0.384	0.022	0.363	0.023	-0.093	0.049
423	23	1.878	0.070	3.174	0.224	0.149	0.027	0.010	0.019	0.379	0.024	0.358	0.022	-0.087	0.051
424	23	1.878	0.070	3.174	0.224	0.148	0.027	0.012	0.019	0.380	0.024	0.359	0.023	-0.086	0.050
425	22	1.873	0.073	3.227	0.227	0.147	0.028	0.006	0.020	0.376	0.025	0.349	0.021	-0.100	0.052
426	22	1.873	0.073	3.182	0.215	0.149	0.028	0.005	0.020	0.375	0.026	0.348	0.021	-0.095	0.051
427	22	1.873	0.073	3.182	0.215	0.148	0.028	0.004	0.019	0.376	0.026	0.350	0.021	-0.093	0.051
428	22	1.864	0.073	3.182	0.215	0.154	0.028	0.011	0.015	0.376	0.026	0.346	0.022	-0.104	0.053
429	20	1.890	0.072	3.200	0.200	0.148	0.029	0.011	0.017	0.392	0.025	0.360	0.021	-0.106	0.053
430	20	1.880	0.070	3.200	0.200	0.149	0.029	0.007	0.016	0.399	0.026	0.360	0.022	-0.130	0.053
431	20	1.880	0.070	3.200	0.200	0.149	0.029	0.006	0.016	0.400	0.027	0.358	0.022	-0.139	0.055
432	20	1.860	0.071	3.200	0.200	0.158	0.029	0.009	0.017	0.399	0.027	0.355	0.022	-0.145	0.057
433	20	1.830	0.068	3.150	0.209	0.158	0.030	0.002	0.022	0.396	0.027	0.355	0.022	-0.137	0.058
434	19	1.832	0.072	3.211	0.196	0.155	0.032	0.004	0.023	0.392	0.028	0.350	0.022	-0.141	0.061
435	19	1.811	0.077	3.211	0.196	0.163	0.030	0.007	0.027	0.384	0.028	0.349	0.022	-0.127	0.064
436	18	1.789	0.078	3.000	0.181	0.155	0.032	0.007	0.028	0.371	0.030	0.344	0.025	-0.107	0.064
437	18	1.756	0.089	2.944	0.189	0.159	0.033	-0.001	0.026	0.372	0.032	0.336	0.025	-0.133	0.074
438	18	1.756	0.089	2.944	0.189	0.158	0.033	-0.002	0.026	0.372	0.032	0.337	0.025	-0.131	0.073
439	17	1.776	0.092	3.000	0.192	0.155	0.035	-0.007	0.025	0.372	0.033	0.338	0.026	-0.128	0.079
440	16	1.775	0.098	3.062	0.193	0.157	0.037	0.003	0.024	0.367	0.035	0.340	0.028	-0.107	0.081
441	16	1.750	0.101	3.000	0.204	0.156	0.038	-0.006	0.027	0.350	0.035	0.332	0.030	-0.087	0.079
442	16	1.738	0.096	2.938	0.213	0.156	0.038	-0.006	0.027	0.354	0.036	0.332	0.031	-0.102	0.081
443	15	1.760	0.092	2.933	0.228	0.141	0.037	-0.000	0.029	0.370	0.040	0.333	0.033	-0.148	0.081
444	15	1.747	0.097	2.933	0.228	0.149	0.043	-0.001	0.029	0.370	0.041	0.333	0.034	-0.160	0.086
445	15	1.747	0.097	2.933	0.228	0.150	0.043	-0.002	0.029	0.366	0.039	0.331	0.033	-0.150	0.083
446	15	1.707	0.091	2.867	0.256	0.159	0.043	0.023	0.013	0.352	0.041	0.327	0.033	-0.125	0.093
447	14	1.714	0.078	2.857	0.275	0.176	0.046	0.004	0.018	0.364	0.038	0.325	0.035	-0.180	0.077
448	13	1.723	0.077	2.923	0.288	0.195	0.049	0.011	0.021	0.375	0.041	0.334	0.035	-0.177	0.087
449	12	1.733	0.083	2.833	0.297	0.209	0.052	0.023	0.029	0.375	0.045	0.337	0.037	-0.159	0.090
450	12	1.700	0.080	2.833	0.297	0.215	0.052	0.030	0.030	0.367	0.047	0.330	0.038	-0.155	0.090
451	12	1.700	0.080	2.750	0.279	0.212	0.053	0.031	0.030	0.375	0.052	0.332	0.039	-0.169	0.094
452	12	1.700	0.080	2.750	0.279	0.212	0.053	0.027	0.027	0.382	0.051	0.331	0.039	-0.208	0.106
453	12	1.683	0.083	2.750	0.279	0.212	0.053	0.026	0.027	0.382	0.051	0.329	0.040	-0.226	0.107
454	12	1.667	0.086	2.750	0.279	0.214	0.054	0.026	0.027	0.369	0.055	0.327	0.040	-0.184	0.118
455	11	1.691	0.091	2.727	0.304	0.202	0.057	0.018	0.024	0.382	0.058	0.342	0.041	-0.170	0.130
456	10	1.680	0.100	2.700	0.335	0.196	0.063	0.017	0.027	0.371	0.063	0.344	0.045	-0.134	0.137
457	6	1.833	0.120	3.000	0.447	0.136	0.065	-0.011	0.036	0.440	0.081	0.387	0.041	-0.135	0.173
458	6	1.833	0.120	3.000	0.447	0.136	0.065	-0.011	0.036	0.440	0.081	0.387	0.041	-0.135	0.173
459	6	1.833	0.120	2.833	0.307	0.139	0.064	-0.012	0.036	0.438	0.080	0.383	0.039	-0.139	0.172
460	6	1.833	0.120	2.833	0.307	0.139	0.064	-0.012	0.036	0.438	0.080	0.383	0.039	-0.139	0.172
461	6	1.833	0.120	2.833	0.307	0.139	0.064	-0.012	0.036	0.438	0.080	0.383	0.039	-0.139	0.172
462	6	1.833	0.120	2.833	0.307	0.139	0.064	-0.012	0.036	0.438	0.080	0.383	0.039	-0.139	0.172
463	6	1.800	0.103	2.833	0.307	0.142	0.064	-0.000	0.042	0.449	0.084	0.373	0.037	-0.201	0.188
464	6	1.800	0.103	2.833	0.307	0.142	0.064	-0.000	0.042	0.449	0.084	0.373	0.037	-0.201	0.188
465	6	1.767	0.131	2.833	0.307	0.131	0.058	-0.001	0.042	0.465	0.076	0.377	0.038	-0.236	0.163
466	4	1.700	0.191	3.000	0.408	0.160	0.084	-0.035	0.051	0.375	0.075	0.364	0.057	-0.057	0.181
467	4	1.700	0.191	3.000	0.408	0.163	0.082	-0.036	0.051	0.372	0.073	0.360	0.055	-0.059	0.181
468	4	1.700	0.191	3.000	0.408	0.163	0.082	-0.036	0.051	0.372	0.073	0.360	0.055	-0.059	0.181
469	4	1.700	0.191	3.000	0.408	0.160	0.084	-0.031	0.052	0.381	0.079	0.362	0.056	-0.073	0.180
470	4	1.700	0.191	3.000	0.408	0.161	0.083	-0.025	0.054	0.393	0.086	0.360	0.055	-0.101	0.181
471	4	1.700	0.191	3.000	0.408	0.161	0.083	-0.025	0.054	0.393	0.086	0.360	0.055	-0.101	0.181
472	4	1.700	0.191	3.000	0.408	0.161	0.083	-0.025	0.054	0.393	0.086	0.360	0.055	-0.101	0.181
473	4	1.700	0.191	3.000	0.408	0.161	0.083	-0.025	0.054	0.393	0.086	0.360	0.055	-0.101	0.181
474	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.047	0.070	0.478	0.097	0.366	0.079	-0.312	0.021
475	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.047	0.070	0.478	0.097	0.366	0.079	-0.312	0.021
476	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
477	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
478	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
479	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
480	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
481	3	1.867	0.133	3.000	0.577	0.110	0.101	-0.053	0.067	0.467	0.088	0.368	0.081	-0.286	0.048
482	2	2.000	0.000	3.500	0.500	0.009	0.012	0.014	0.007	0.550	0.050	0.440	0.065	-0.262	0.071
483	1	2.000	.	4.000	.	-0.002	.	0.007	.	0.600	.	0.504	.	-0.190	.
484	1	2.000	.	4.000	.	-0.002	.	0.007	.	0.600	.	0.504	.	-0.190	.
485	1	2.000	.	4.000	.	-0.002	.	0.007	.	0.600	.	0.504	.	-0.190	.
486	1	2.000	.	4.000	.	-0.002	.	0.007	.	0.600	.	0.504	.	-0.190	.
487	1	2.000	.	4.000	.	-0.002	.	0.007	.	0.600	.	0.504	.	-0.190	.
488	1	2.000	.	4.000	.	-0.000	.	0.007	.	0.533	.	0.519	.	-0.027	.
489	1	2.000	.	4.000	.	-0.000	.	0.007	.	0.533	.	0.519	.	-0.027	.
490	1	2.000	.	4.000	.	-0.000	.	0.007	.	0.533	.	0.519	.	-0.027	.
491	1	2.000	.	4.000	.	-0.000	.	0.007	.	0.533	.	0.519	.	-0.027	.
492	1	1.800	.	3.000	.	0.105	.	-0.002	.	0.480	.	0.514	.	0.066	.
493	1	1.800	.	3.000	.	0.109	.	-0.003	.	0.550	.	0.497	.	-0.107	.
494	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
495	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
496	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
497	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
498	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
499	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
500	1	1.600	.	2.000	.	0.139	.	-0.139	.	0.467	.	0.456	.	-0.024	.
